Index;Hora;Tiempo;Carga
1;2:20:00 p. m.;0;0,25
1;5:30:00 p. m.;190;0,72
1;6:15:00 p. m.;235;0,81
2;12:08:00 p. m.;0;0,47
2;12:20:00 p. m.;12;0,5
2;12:43:00 p. m.;35;0,55
2;1:00:00 p. m.;52;0,59
2;1:33:00 p. m.;85;0,67
2;2:18:00 p. m.;130;0,77
3;12:48:00 p. m.;0;0,3
3;1:00:00 p. m.;12;0,33
3;1:10:00 p. m.;22;0,36
3;1:22:00 p. m.;34;0,38
3;2:00:00 p. m.;72;0,48
3;3:07:00 p. m.;139;0,63
3;4:05:00 p. m.;197;0,77
4;12:04:00 p. m.;0;0,41
4;12:20:00 p. m.;16;0,45
4;12:42:00 p. m.;38;0,5
4;3:03:00 p. m.;179;0,83
5;12:07:00 p. m.;0;0,44
5;12:43:00 p. m.;36;0,53
5;2:45:00 p. m.;158;0,82
